m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
3.2128000259399414|4.4980998039245605|261.5625915527344|0.0031|2756.6826|0.0|1.0|1.0|InChI=1S/C7H7F9O/c8-4(9,2-1-3-17)5(10,11)6(12,13)7(14,15)16/h17H,1-3H2|OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4.804200172424316|4.289599895477295|301.8725891113281|0.0022|4037.5815|0.0|1.0|1.0|InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)|CCCCCCCCCCCCCC(=O)O
3.883500099182129|3.861599922180176|349.1789855957031|0.0749|2604.3851|0.0|2.0|0.0|InChI=1S/C8H14N2/c1-2-3-4-6-10-7-5-9-8-10/h5,7-8H,2-4,6H2,1H3|CCCCCn1ccnc1
2.271399974822998|4.329599857330322|356.32281494140625|0.0077|1937.2798|0.0|3.0|2.0|InChI=1S/C5H13NO2.ClH/c1-6(2-4-7)3-5-8;/h7-8H,2-5H2,1H3;1H|CN(CCO)CCO.Cl
3.4600000381469727|3.59660005569458|329.9635925292969|0.0323|2654.7893|0.0|2.0|1.0|InChI=1S/C9H7N.CH2O2/c1-2-6-9-8(4-1)5-3-7-10-9;2-1-3/h1-7H;1H,(H,2,3)|O=CO.c1ccc2ncccc2c1
1.9341000318527222|3.469899892807007|239.33560180664062|0.0|0.0|0.0|0.0|0.0|InChI=1S/C2H3Cl/c1-2-3/h2H,1H2|C=CCl
6.009900093078613|4.268899917602539|334.4411926269531|0.0276|799.2731|0.0|6.0|1.0|InChI=1S/C16H36N.C7H15NO5S/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;9-7(6-14(10,11)12)5-8-1-3-13-4-2-8/h5-16H2,1-4H3;7,9H,1-6H2,(H,10,11,12)/q+1;/p-1|CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1
1.9384000301361084|4.325399875640869|505.0649108886719|0.0016|3593.3108|0.0|3.0|0.0|InChI=1S/C6H11N2.CHNS/c1-3-8-5-4-7(2)6-8;2-1-3/h4-6H,3H2,1-2H3;3H/q+1;/p-1|CCn1cc[n+](C)c1.N#C[S-]
4.630799770355225|4.177000045776367|416.2069091796875|0.1487|3178.1586|0.0|1.0|0.0|InChI=1S/C11H21N2.BrH/c1-3-5-7-12-9-10-13(11-12)8-6-4-2;/h9-11H,3-8H2,1-2H3;1H/q+1;/p-1|CCCCn1cc[n+](CCCC)c1.[Br-]
3.946700096130371|3.4274001121520996|285.1763000488281|0.0167|1983.5946|0.0|4.0|0.0|InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3|COP(=O)(OC)OC
